,Date,Open,High,Low,Close,Volume
207,2019-08-23,15.02,13.11,13.11,13.11,0
206,2019-08-22,15.29,15.29,13.11,13.11,800
205,2019-08-21,15.29,15.29,15.29,15.29,0
204,2019-08-20,15.29,15.29,15.29,15.29,0
203,2019-08-19,15.29,15.29,15.29,15.29,800
202,2019-08-16,13.65,13.65,13.65,13.65,0
201,2019-08-15,13.65,13.65,13.65,13.65,0
200,2019-08-14,13.65,13.65,13.65,13.65,0
199,2019-08-13,13.65,13.65,13.65,13.65,30
198,2019-08-12,13.65,13.65,13.65,13.65,300
197,2019-08-09,13.65,13.65,13.65,13.65,0
196,2019-08-08,13.65,13.65,13.65,13.65,100
195,2019-08-07,12.83,13.65,12.83,13.65,1100
194,2019-08-06,13.6,13.65,13.65,13.65,0
193,2019-08-05,12.83,13.65,12.83,13.65,1120
192,2019-08-02,13.27,13.27,13.27,13.27,100
191,2019-08-01,13.11,13.11,13.11,13.11,400
190,2019-07-31,12.83,12.83,12.83,12.83,200
189,2019-07-30,13.11,13.11,13.11,13.11,33
188,2019-07-29,13.11,13.11,13.11,13.11,100
187,2019-07-26,12.61,12.61,12.61,12.61,100
186,2019-07-25,12.83,12.83,12.83,12.83,0
185,2019-07-24,12.83,12.83,12.83,12.83,0
184,2019-07-23,12.83,12.83,12.83,12.83,0
183,2019-07-22,12.83,12.83,12.83,12.83,0
182,2019-07-19,12.83,12.83,12.83,12.83,0
181,2019-07-18,12.83,12.83,12.83,12.83,500
180,2019-07-17,12.61,12.83,12.83,12.83,0
179,2019-07-16,12.23,12.83,12.23,12.83,333
178,2019-07-15,12.18,12.72,12.72,12.72,0
177,2019-07-12,12.18,12.72,12.72,12.72,0
176,2019-07-11,12.29,12.72,12.18,12.72,11100
175,2019-07-10,12.56,12.56,12.01,12.01,2600
174,2019-07-09,12.61,12.94,12.94,12.94,0
173,2019-07-08,12.61,12.94,12.94,12.94,0
172,2019-07-05,12.61,12.94,12.94,12.94,0
171,2019-07-04,12.83,12.94,12.83,12.61,2800
170,2019-07-03,12.61,12.83,12.83,12.83,0
169,2019-07-02,12.56,12.83,12.56,12.83,601
168,2019-07-01,12.29,12.29,12.29,12.29,1
167,2019-06-28,12.29,12.29,12.29,12.29,500
166,2019-06-27,12.56,12.56,12.56,12.56,0
165,2019-06-26,12.56,12.56,12.56,12.56,0
164,2019-06-25,12.56,12.56,12.56,12.56,120
163,2019-06-24,11.47,12.01,11.47,12.01,1200
162,2019-06-21,12.01,12.01,12.01,12.01,0
161,2019-06-20,12.01,12.01,12.01,12.01,0
160,2019-06-19,12.01,12.01,12.01,12.01,20
159,2019-06-18,12.01,12.01,12.01,12.01,1000
158,2019-06-17,13.65,13.65,13.65,13.65,0
157,2019-06-14,13.65,13.65,13.65,13.65,0
156,2019-06-13,13.65,13.65,13.65,13.65,0
155,2019-06-12,13.65,13.65,13.65,13.65,0
154,2019-06-11,13.65,13.65,13.65,13.65,800
153,2019-06-10,13.65,13.65,13.65,13.65,135
152,2019-06-07,14.03,13.65,13.65,13.65,0
151,2019-06-06,14.03,14.03,14.03,13.65,20
150,2019-06-05,14.03,14.03,14.03,13.29,35
149,2019-06-04,14.03,13.29,13.29,13.29,0
148,2019-06-03,14.03,14.03,14.03,13.29,10
147,2019-05-31,14.03,13.29,13.29,13.29,0
146,2019-05-30,14.03,13.29,13.29,13.29,0
145,2019-05-29,14.03,13.29,13.29,13.29,0
144,2019-05-28,14.03,13.29,13.29,13.29,0
143,2019-05-27,14.09,14.09,13.29,13.29,1100
142,2019-05-24,13.56,13.56,13.56,13.56,0
141,2019-05-23,13.56,13.56,13.56,13.56,0
140,2019-05-22,13.56,13.56,13.56,13.56,0
139,2019-05-21,13.56,13.56,13.56,13.56,0
138,2019-05-20,13.56,13.56,13.56,13.56,0
137,2019-05-17,13.56,13.56,13.56,13.56,0
136,2019-05-16,13.56,13.56,13.56,13.56,400
135,2019-05-15,13.56,13.56,13.56,13.56,0
134,2019-05-14,13.56,13.56,13.56,13.56,300
133,2019-05-13,13.56,13.56,13.56,13.56,300
132,2019-05-10,13.56,13.56,13.56,13.56,200
131,2019-05-09,13.56,13.56,13.56,13.56,0
130,2019-05-08,13.56,13.56,13.56,13.56,500
129,2019-05-07,13.56,13.56,13.56,13.56,302
128,2019-05-06,13.56,13.56,13.56,13.56,0
127,2019-05-03,13.56,13.56,13.56,13.56,0
126,2019-05-02,13.56,13.56,13.56,13.56,0
125,2019-04-26,13.56,13.56,13.56,13.56,10
124,2019-04-25,13.56,13.56,13.56,13.56,3
123,2019-04-24,13.56,13.56,13.56,13.56,0
122,2019-04-23,13.56,13.56,13.56,13.56,0
121,2019-04-22,13.56,13.56,13.56,13.56,0
120,2019-04-19,13.56,13.56,13.56,13.56,0
119,2019-04-18,13.56,13.56,13.56,13.56,0
118,2019-04-17,13.56,13.56,13.56,13.56,0
117,2019-04-16,13.56,13.56,13.56,13.56,0
116,2019-04-12,13.56,13.56,13.56,13.56,45
115,2019-04-11,13.56,13.56,13.56,13.56,0
114,2019-04-10,13.56,13.56,13.56,13.56,0
113,2019-04-09,13.56,13.56,13.56,13.56,100
112,2019-04-08,13.56,13.56,13.56,13.56,0
111,2019-04-05,13.56,13.56,13.56,13.56,0
110,2019-04-04,13.56,13.56,13.56,13.56,0
109,2019-04-03,13.56,13.56,13.56,13.56,0
108,2019-04-02,13.56,13.56,13.56,13.56,18
107,2019-04-01,13.56,13.56,13.56,13.56,0
106,2019-03-29,13.56,13.56,13.56,13.56,0
105,2019-03-28,13.56,13.56,13.56,13.56,0
104,2019-03-27,13.56,13.56,13.56,13.56,100
103,2019-03-26,13.4,13.4,13.4,13.4,0
102,2019-03-25,13.4,13.4,13.4,13.4,100
101,2019-03-22,13.4,13.4,13.4,13.4,100
100,2019-03-21,13.4,13.4,13.4,13.4,200
99,2019-03-20,13.4,13.4,13.4,13.4,0
98,2019-03-19,13.4,13.4,13.4,13.4,0
97,2019-03-18,13.4,13.4,13.4,13.4,0
96,2019-03-15,13.4,13.4,13.4,13.4,100
95,2019-03-14,13.4,13.4,13.4,13.4,200
94,2019-03-13,13.4,13.4,13.4,13.4,100
93,2019-03-12,13.4,13.4,13.4,13.4,0
92,2019-03-11,13.4,13.4,13.4,13.4,300
91,2019-03-08,13.4,13.4,13.4,13.4,100
90,2019-03-07,11.7,11.7,11.7,11.7,0
89,2019-03-06,11.7,11.7,11.7,11.7,0
88,2019-03-05,11.7,11.7,11.7,11.7,0
87,2019-03-04,11.7,11.7,11.7,11.7,0
86,2019-03-01,11.7,11.7,11.7,11.7,0
85,2019-02-28,11.7,11.7,11.7,11.7,0
84,2019-02-27,11.7,11.7,11.7,11.7,0
83,2019-02-26,11.7,11.7,11.7,11.7,0
82,2019-02-25,11.7,11.7,11.7,11.7,0
81,2019-02-22,11.7,11.7,11.7,11.7,0
80,2019-02-21,11.7,11.7,11.7,11.7,0
79,2019-02-20,11.7,11.7,11.7,11.7,0
78,2019-02-19,11.7,11.7,11.7,11.7,100
77,2019-02-18,13.29,13.29,13.29,13.29,0
76,2019-02-15,13.29,13.29,13.29,13.29,0
75,2019-02-14,13.29,13.29,13.29,13.29,100
74,2019-02-13,14.35,14.35,14.35,14.35,100
73,2019-02-12,16.21,17.01,17.01,17.01,0
72,2019-02-11,16.21,17.01,17.01,17.01,0
71,2019-02-01,16.21,17.01,17.01,17.01,0
70,2019-01-31,16.21,17.01,17.01,17.01,0
69,2019-01-30,16.21,17.01,17.01,17.01,0
68,2019-01-29,16.21,17.01,17.01,17.01,0
67,2019-01-28,16.21,17.01,17.01,17.01,0
66,2019-01-25,16.21,17.01,17.01,17.01,0
65,2019-01-24,16.21,17.01,17.01,17.01,0
64,2019-01-23,16.21,17.01,17.01,17.01,0
63,2019-01-22,16.21,17.01,17.01,17.01,0
62,2019-01-21,16.21,17.01,17.01,17.01,0
61,2019-01-18,16.21,17.01,17.01,17.01,0
60,2019-01-17,16.21,17.01,17.01,17.01,0
59,2019-01-16,16.21,17.01,17.01,17.01,0
58,2019-01-15,16.21,17.01,17.01,17.01,0
57,2019-01-14,16.21,17.01,17.01,17.01,0
56,2019-01-11,16.21,17.01,17.01,17.01,0
55,2019-01-10,16.21,17.01,17.01,17.01,0
54,2019-01-09,16.21,17.01,17.01,17.01,0
53,2019-01-08,16.21,17.01,17.01,17.01,0
52,2019-01-07,16.21,16.21,16.21,16.21,100
51,2019-01-04,16.21,16.21,16.21,16.21,0
50,2019-01-03,16.21,16.21,16.21,16.21,0
49,2019-01-02,16.21,16.21,16.21,16.21,100
48,2018-12-28,15.3,15.3,15.3,15.3,0
47,2018-12-27,15.3,15.3,15.3,15.3,0
46,2018-12-26,15.3,15.3,15.3,15.3,0
45,2018-12-25,15.3,15.3,15.3,15.3,0
44,2018-12-24,15.3,15.3,15.3,15.3,0
43,2018-12-21,15.3,15.3,15.3,15.3,100
42,2018-12-20,13.43,14.19,14.19,14.19,0
41,2018-12-19,13.43,14.19,14.19,14.19,0
40,2018-12-18,13.43,14.19,14.19,14.19,0
39,2018-12-17,13.43,14.19,14.19,14.19,0
38,2018-12-14,14.19,14.19,14.19,14.19,0
37,2018-12-13,13.43,14.19,14.19,14.19,0
36,2018-12-12,13.43,14.19,14.19,14.19,0
35,2018-12-11,13.43,14.19,14.19,14.19,0
34,2018-12-10,13.43,14.19,14.19,14.19,0
33,2018-12-07,13.43,14.19,14.19,14.19,0
32,2018-12-06,13.43,13.43,13.43,13.43,0
31,2018-12-05,13.43,13.43,13.43,13.43,0
30,2018-12-04,13.43,13.43,13.43,13.43,2000
29,2018-12-03,15.34,15.34,15.34,15.34,100
28,2018-11-30,15.34,15.34,15.34,15.34,0
27,2018-11-29,15.34,15.34,15.34,15.34,1000
26,2018-11-28,12.42,12.42,12.42,12.42,0
25,2018-11-27,12.42,12.42,12.42,12.42,0
24,2018-11-26,12.42,12.42,12.42,12.42,0
23,2018-11-23,12.42,12.42,12.42,12.42,0
22,2018-11-22,12.42,12.42,12.42,12.42,0
21,2018-11-21,12.42,12.42,12.42,12.42,0
20,2018-11-20,12.42,12.42,12.42,12.42,0
19,2018-11-19,12.42,12.42,12.42,12.42,0
18,2018-11-16,12.42,12.42,12.42,12.42,0
17,2018-11-15,12.42,12.42,12.42,12.42,0
16,2018-11-14,12.42,12.42,12.42,12.42,0
15,2018-11-13,12.42,12.42,12.42,12.42,0
14,2018-11-12,12.42,12.42,12.42,12.42,0
13,2018-11-09,12.42,12.42,12.42,12.42,0
12,2018-11-08,12.42,12.42,12.42,12.42,0
11,2018-11-07,12.42,12.42,12.42,12.42,0
10,2018-11-06,12.42,12.42,12.42,12.42,0
9,2018-11-05,12.42,12.42,12.42,12.42,0
8,2018-11-02,12.42,12.42,12.42,12.42,0
7,2018-11-01,12.42,12.42,12.42,12.42,0
6,2018-10-31,12.42,12.42,12.42,12.42,0
5,2018-10-30,12.42,12.42,12.42,12.42,0
4,2018-10-29,12.42,12.42,12.42,12.42,0
3,2018-10-26,12.42,12.42,12.42,12.42,0
2,2018-10-25,12.42,12.42,12.42,12.42,0
1,2018-10-24,12.42,12.42,12.42,12.42,0
0,2018-10-23,12.42,0.0,0.0,0.0,0
